원두 유형,디카페인여부,원두 이름,원산지,품종,로스터리,생산 지역,가공방식,맛,산미,바디감,단맛,로스팅 포인트,쓴맛,db_id
싱글오리진,0,볼리비아 쿠시요 자바 코코 내추럴,볼리비아,Java,,"Caranavi, La Paz, Bolinda",내추럴,"산미 있는, 무거운, 베리, 초콜릿",3,4,4,4,1,412
싱글오리진,1,콜롬비아 카사 네그라 카투라 디카페인,콜롬비아,Caturra,,"Quindio, Armenia",슈가케인,"달콤한, 밸런스, 부드러운, 초콜릿, 시트러스",2,3,4,3,2,413
싱글오리진,1,콜롬비아 엑셀소 디카페인,콜롬비아,Typica,,Huila,마운틴 워터,"달콤한, 고소한, 초콜릿, 곡물, 시트러스",1,4,4,4,3,414
싱글오리진,1,탄자니아 아카시아힐즈 켄트 워시드,멕시코,Kent,,Karatu,워시드,"달콤한, 고소한, 밸런스, 깔끔한, 바닐라, 견과류, 깔끔한한",3,4,4,3,2,415
싱글오리진,0,에티오피아 구지 겔라냐 게샤 G1 무산소 워시드 스페셜 리저브,에티오피아,Gesha Heirloom,,"Gelana Woreda West Guji, Oromia","무산소 발효, 워시드","달콤한, 산미 있는, 시나몬, 가벼운",4,3,3,2,1,416
싱글오리진,0,에티오피아 시다모 물루게타 문타샤 내추럴,에티오피아,"74158, Wolisho",,"Arbegona, Sidamo, Bursa",내추럴,"달콤한, 산미 있는, 베리, 가벼운, 시트러스, 트로피칼",4,2,4,2,1,417
싱글오리진,1,에티오피아 예가체프 워테 콩가 G1 내추럴,에티오피아,"Wolisho, Kurume, 74110, 74112",,"SNNPR, Gedeo, Yirgacheffe",내추럴,"달콤한, 산미 있는, 깔끔한, 베리, 꽃",3,2,3,2,1,418
싱글오리진,0,에티오피아 예가체프 첼베사 워시드,에티오피아,"74110, 74112",,"Chelbesa, Gedeo, Yirgacheffe",워시드,"깔끔한, 허브, 주스, 트로피칼",4,3,3,1,1,419
싱글오리진,0,과테말라 라 누에바 몬타나 카투아이 무산소 내추럴,과테말라,Catuai,,La Nueva,"무산소 발효, 내추럴","달콤한, 산미 있는, 베리, 차, 시트러스, 트로피칼",4,2,3,1,1,420
싱글오리진,0,과테말라 엘 소코로 산 로렌조,과테말라,Red Caturra,,"San Jeronimo, Baja Verapaz",워시드,"고소한, 부드러운, 초콜릿, 견과류, 크리미한",1,3,4,4,1,421
싱글오리진,0,과테말라 안티구아 SHB,과테말라,"Caturra, Bourbon, Catuai",,Antigua Valley,워시드,"고소한, 산미 있는, 카라멜, 견과류, 여운 있는, 풍부한, 시트러스",2,4,3,4,2,422
싱글오리진,0,과테말라 우에우에테낭고 와이칸 워시드,과테말라,"Typica, Caturra, Bourbon, Catuai, Paches",,Huehuetenango,워시드,"달콤한, 산미 있는, 부드러운, 베리, 초콜릿, 바닐라",2,3,5,2,1,423
싱글오리진,0,나로커피220 무산소체리,대한민국,"Tapica, SL34",,"Goheung-gun, Jeollanam-do",무산소 발효,"달콤한, 산미 있는, 풍부한, 화사한, 시트러스",3,4,3,2,2,424
싱글오리진,0,르완다 부산제 워시드,르완다,Bourbon,,Busanze,워시드,"달콤한, 고소한, 부드러운",1,3,5,2,1,425
싱글오리진,0,과테말라 엘 소코로 레드 카투라 워시드,과테말라,Red Caturra,,Palencia,워시드,"달콤한, 산미 있는, 초콜릿, 견과류, 허브, 여운 있는",3,4,4,3,1,426
싱글오리진,0,과테말라 엘 소코로 옐로우 카투라 워시드,과테말라,Yellow Caturra,,Palencia,워시드,"달콤한, 산미 있는, 카라멜, 무거운, 베리, 시트러스",4,3,4,4,2,427
싱글오리진,0,에티오피아 벤치 마지 게이샤 G1 무산소 내추럴,에티오피아,Geisha,,Bench Maji,"내추럴, 무산소 발효","달콤한, 산미 있는, 견과류, 여운 있는, 화사한, 주스, 크리미한",4,3,4,3,1,428
싱글오리진,0,에티오피아 시다마 아르베고나 야웨 에이미 PG1 내추럴,에티오피아,"74110, 74158",,Sidamo Arbegona,내추럴,"달콤한, 산미 있는, 부드러운, 허브, 화사한, 주스, 시트러스, 트로피칼",4,3,4,3,1,429
싱글오리진,1,브라질 NY 2 FC 디카페인 마운틴워터,브라질,Catuai,,Cerrado,마운틴 워터,"고소한, 부드러운, 카라멜, 무거운, 초콜릿",3,4,3,3,2,430
싱글오리진,0,브라질 아라가오 카페 델라스 내추럴,브라질,Catuai,,Aragao,내추럴,"달콤한, 고소한, 카라멜, 초콜릿, 견과류",1,3,4,4,1,431
싱글오리진,0,스페셜티 과테말라 우에우에테낭고 킨 워시드,과테말라,"Bourbon, Caturra, Typica",,Huehuetenango,워시드,"산미 있는, 밸런스, 초콜릿, 견과류, 시트러스",4,4,4,3,2,432
싱글오리진,0,에티오피아 예가체프 겔레나 아바야 G1 내추럴,에티오피아,"Kurume, Wolish, Daga",,"Gelena Abaya, Yirgacheffe",내추럴,"달콤한, 산미 있는, 부드러운, 베리, 풍부한, 가벼운, 주스, 트로피칼",4,4,3,3,2,433
싱글오리진,0,에티오피아 케넌 아세파 무산소발효 내추럴,에티오피아,74158,,Sidama,"무산소 발효, 내추럴","달콤한, 산미 있는, 베리, 크리미한, 시트러스, 트로피칼",3,4,4,3,1,434
싱글오리진,0,에티오피아 구지 시먼 어베이 세미 무산소 내추럴,에티오피아,74110,,Guji,"무산소 발효, 내추럴","달콤한, 산미 있는, 베리, 꽃, 견과류, 깔끔한한, 여운 있는, 시트러스, 트로피칼",3,2,3,2,1,435
싱글오리진,0,에티오피아 리무 게샤 워시드,에티오피아,Heirloom,,Gesha,워시드,"꽃, 산미 있는",4,2,4,1,1,436
싱글오리진,0,에티오피아 구지 모모라 G1 내추럴,에티오피아,Heirloom,,Guji,내추럴,"달콤한, 산미 있는, 베리, 견과류, 허브, 시트러스, 트로피칼",4,3,4,2,1,437
싱글오리진,0,에티오피아 구지 샤키소 G1 내추럴,에티오피아,Heirloom,,Guji,내추럴,"달콤한, 부드러운, 여운 있는, 시트러스, 트로피칼",3,4,3,2,1,438
싱글오리진,0,에티오피아 시다마 트와콕 워시드 G1,에티오피아,Heirloom,,Sidama,워시드,"달콤한, 산미 있는, 꽃, 화사한, 트로피칼",3,1,3,1,1,439
싱글오리진,0,에티오피아 시다모 G2 워시드,에티오피아,Heirloom,,Sidama,워시드,"산미 있는, 밸런스, 카라멜, 꽃, 초콜릿, 시트러스",4,3,3,4,2,440
