원두 이름,산미,바디감,단맛,쓴맛,가벼운,갈색설탕,견과류,고소한,곡물,구운 견과류,깔끔한,깔끔한한,꽃,다크초콜릿,달콤한,"달콤한한,고소한한,베리,견과류,시나몬,곡물",무거운,바닐라,밸런스,베리,부드러운,산미 있는,스모키한,시나몬,시트러스,쌉쌀한,여운 있는,와이니,좋은 바디감,주스,주스같은,차,초콜릿,카라멜,크리미한,트로피칼,풍부한,향신료,허브,화사한,클러스터,db_id
볼리비아 쿠시요 자바 코코 내추럴,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,412
콜롬비아 카사 네그라 카투라 디카페인,2,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,413
콜롬비아 엑셀소 디카페인,1,4,4,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,414
탄자니아 아카시아힐즈 켄트 워시드,3,4,4,2,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,415
에티오피아 구지 겔라냐 게샤 G1 무산소 워시드 스페셜 리저브,4,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,416
에티오피아 시다모 물루게타 문타샤 내추럴,4,2,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,417
에티오피아 예가체프 워테 콩가 G1 내추럴,3,2,3,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418
에티오피아 예가체프 첼베사 워시드,4,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,419
과테말라 라 누에바 몬타나 카투아이 무산소 내추럴,4,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,420
과테말라 엘 소코로 산 로렌조,1,3,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,421
과테말라 안티구아 SHB,2,4,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6,422
과테말라 우에우에테낭고 와이칸 워시드,2,3,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,423
나로커피220 무산소체리,3,4,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,424
르완다 부산제 워시드,1,3,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,425
과테말라 엘 소코로 레드 카투라 워시드,3,4,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,426
과테말라 엘 소코로 옐로우 카투라 워시드,4,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,427
